Date,Rainfall,PET,Flow
31-03-2004,5.3512,77.964,6.614
30-04-2004,22.0835,108.197,10.2175
31-05-2004,10.3012,144.195,10.1701
30-06-2004,212.4482,98.756,5.375
31-07-2004,313.7518,75.333,16.9258
31-08-2004,364.7265,69.06,136.8658
30-09-2004,109.6912,73.77,25.467
31-10-2004,73.2529,62.416,30.9165
30-11-2004,0.2712,48.442,17.6495
31-12-2004,0.0118,43.359,6.6804
31-01-2005,54.7429,44.081,6.1522
28-02-2005,17.0241,48.684,10.0711
31-03-2005,8.9324,74.838,6.615
30-04-2005,6.6994,100.006,6.6714
31-05-2005,26.88,150.803,6.0843
30-06-2005,215.4853,156.306,6.1109
31-07-2005,423.6759,74.465,10.1328
31-08-2005,283.9494,71.066,231.5409
30-09-2005,239.4629,70.686,28.162
31-10-2005,107.7041,67.428,27.4567
30-11-2005,3.0953,47.776,29.2871
31-12-2005,10.3665,41.927,8.9078
31-01-2006,0,44.232,5.3624
28-02-2006,0,52.318,5.1084
31-03-2006,23.3165,65.423,6.576
30-04-2006,15.3524,100.884,5.6798
31-05-2006,44.6982,124.859,7.1543
30-06-2006,114.63,104.457,8.9361
31-07-2006,439.2012,69.867,8.7443
31-08-2006,558.6147,66.217,171.3773
30-09-2006,166.6682,71.065,374.0417
31-10-2006,20.5724,69.432,65.9992
30-11-2006,7.9971,52.043,17.9269
31-12-2006,0.0047,45.85,12.0921
31-01-2007,0.2588,44.429,9.4874
28-02-2007,26.6088,46.28,4.8187
31-03-2007,6.8047,67.754,4.6853
30-04-2007,6.0147,106.029,4.5799
31-05-2007,20.0341,130.963,4.5015
30-06-2007,300.4353,108.605,17.7184
31-07-2007,318.6771,76.588,157.2709
31-08-2007,353.2553,75.666,45.7671
30-09-2007,298.0506,72.684,67.2427
31-10-2007,32.2735,65.638,124.6565
30-11-2007,8.3418,51.467,29.8588
31-12-2007,0.7965,45.085,17.7496
31-01-2008,15.6894,44.811,11.0241
29-02-2008,7.2576,44.657,12.2391
31-03-2008,12.8494,73.974,9.3639
30-04-2008,11.1582,107.747,10.9069
31-05-2008,7.3165,149.761,10.5828
30-06-2008,271.8694,87.017,16.8653
31-07-2008,321.9324,75.046,55.4655
31-08-2008,408.2088,74.979,95.6452
30-09-2008,329.4771,73.585,91.1123
31-10-2008,11.6782,69.326,54.1364
30-11-2008,0.6676,52.289,18.1367
31-12-2008,0,47.573,18.0204
31-01-2009,5.2259,47.917,13.2504
28-02-2009,0.0147,51.876,11.7553
31-03-2009,3.1753,74.789,10.7686
30-04-2009,5.0082,116.183,6.9799
